date,close
2011-06-22,5.191375255584717
2011-06-24,5.104330539703369
2011-06-27,5.151200294494629
2011-06-28,5.2337799072265625
2011-06-29,5.218156337738037
2011-06-30,5.294040679931641
2011-07-01,5.300737380981445
2011-07-04,5.311896324157715
2011-07-05,5.258331298828125
2011-07-06,5.2471699714660645
2011-07-07,5.273953437805176
2011-07-08,5.231547832489014
2011-07-11,5.16682243347168
2011-07-12,5.160128593444824
2011-07-13,5.2203898429870605
2011-07-14,5.122185707092285
2011-07-15,5.131112575531006
2011-07-18,5.079780101776123
2011-07-19,5.055227279663086
2011-07-20,4.994968414306641
2011-07-21,5.133345603942871
2011-07-22,5.126648902893066
2011-07-25,5.378851890563965
2011-07-26,5.280650615692139
2011-07-27,5.265026569366455
2011-07-28,5.244939804077148
2011-07-29,5.244939804077148
2011-08-01,5.244939804077148
2011-08-02,5.244939804077148
2011-08-03,5.2916178703308105
2011-08-04,5.2916178703308105
2011-08-05,5.2916178703308105
2011-08-08,5.2916178703308105
2011-08-09,5.2916178703308105
2011-08-10,5.2916178703308105
2011-08-11,5.2916178703308105
2011-08-12,5.2916178703308105
2011-08-15,5.2916178703308105
2011-08-16,5.2916178703308105
2011-08-17,4.699407577514648
2011-08-18,4.571056365966797
2011-08-19,4.435953140258789
2011-08-22,4.424693584442139
2011-08-23,4.53953218460083
2011-08-24,4.555295467376709
2011-08-25,4.47197961807251
2011-08-26,4.480987548828125
2011-08-29,4.613840579986572
2011-08-30,4.627350807189941
2011-08-31,4.683644771575928
2011-09-01,4.737688064575195
2011-09-02,4.58682107925415
2011-09-05,4.510261535644531
2011-09-06,4.6093363761901855
2011-09-08,4.652120113372803
2011-09-09,4.537281036376953
2011-09-12,4.5800652503967285
2011-09-13,4.575561046600342
2011-09-14,4.6205973625183105
2011-09-15,4.627350807189941
2011-09-16,4.649868011474609
2011-09-19,4.683644771575928
2011-09-20,4.638608932495117
2011-09-21,4.638608932495117
2011-09-22,4.390918254852295
2011-09-23,4.314357280731201
2011-09-26,4.453967094421387
2011-09-27,4.402174949645996
2011-09-28,4.357141971588135
2011-09-29,4.368399143218994
2011-09-30,4.30084753036499
2011-10-03,4.145476818084717
2011-10-04,4.177000045776367
2011-10-05,4.100442409515381
2011-10-06,4.244553089141846
2011-10-07,4.120706558227539
2011-10-10,4.258063316345215
2011-10-11,4.314357280731201
2011-10-13,4.366148471832275
2011-10-14,4.422441482543945
2011-10-17,4.34588098526001
2011-10-18,4.34588098526001
2011-10-19,4.330121040344238
2011-10-20,4.237796783447266
2011-10-21,4.339127063751221
2011-10-24,4.339127063751221
2011-10-25,4.339127063751221
2011-10-26,4.339127063751221
2011-10-27,4.339127063751221
2011-10-28,4.715170383453369
2011-10-31,4.859281539916992
2011-11-01,4.7579522132873535
2011-11-03,4.935841083526611
2011-11-04,4.976373195648193
2011-11-07,5.106973648071289
2011-11-08,5.046177387237549
2011-11-09,4.832261085510254
2011-11-10,4.832261085510254
2011-11-11,4.944847106933594
2011-11-14,4.981207370758057
2011-11-16,5.024384498596191
2011-11-17,4.890308380126953
2011-11-18,4.942574977874756
2011-11-21,4.95393705368042
2011-11-22,4.926668167114258
2011-11-23,4.90167236328125
2011-11-24,4.924394607543945
2011-11-25,4.774415016174316
2011-11-28,4.885765552520752
2011-11-29,4.865313529968262
2011-11-30,5.0107502937316895
2011-12-01,5.117554664611816
2011-12-02,5.119827747344971
2011-12-05,5.219815254211426
2011-12-06,5.299349308013916
2011-12-07,5.292532444000244
2011-12-08,5.117554664611816
2011-12-09,5.23117733001709
2011-12-12,5.23117733001709
2011-12-13,5.09483003616333
2011-12-14,4.958483695983887
2011-12-15,4.888036727905273
2011-12-16,4.840315341949463
2011-12-19,4.799412250518799
2011-12-20,5.022111892700195
2011-12-21,4.981207370758057
2011-12-22,5.033473014831543
2011-12-23,5.049381732940674
2011-12-26,5.038021087646484
2011-12-27,5.044836521148682
2011-12-28,4.8698577880859375
2011-12-29,4.883491516113281
2012-01-02,4.938030242919922
2012-01-03,5.134451389312744
2012-01-04,5.171108245849609
2012-01-05,5.111539363861084
2012-01-06,5.116121768951416
2012-01-09,5.184855937957764
2012-01-10,5.246718883514404
2012-01-11,5.249007701873779
2012-01-12,5.287959098815918
2012-01-13,5.2810845375061035
2012-01-16,5.418551921844482
2012-01-17,5.418551921844482
2012-01-18,5.583515644073486
2012-01-19,5.546855926513672
2012-01-20,5.549147605895996
2012-01-23,5.757641315460205
2012-01-24,5.819503307342529
2012-01-26,5.709526538848877
2012-01-27,5.652248859405518
2012-01-30,5.629337787628174
2012-01-31,5.629337787628174
2012-02-01,5.716401100158691
2012-02-02,5.620171070098877
2012-02-03,5.6385016441345215
2012-02-06,5.695779800415039
2012-02-07,5.865326404571533
2012-02-08,5.826376438140869
2012-02-09,5.842413425445557
2012-02-10,5.384183883666992
2012-02-13,5.384183883666992
2012-02-14,5.317741394042969
2012-02-15,5.292539119720459
2012-02-16,5.471248149871826
2012-02-17,5.510196685791016
2012-02-23,5.48041296005249
2012-02-24,5.608717918395996
2012-02-27,5.578933238983154
2012-02-28,5.574349880218506
2012-02-29,5.569767951965332
2012-03-01,5.700363636016846
2012-03-02,5.796590805053711
2012-03-05,5.633920192718506
2012-03-06,5.441464900970459
2012-03-07,5.494161128997803
2012-03-08,5.519361972808838
2012-03-09,5.43229866027832
2012-03-12,5.368147373199463
2012-03-13,5.597260475158691
2012-03-14,5.688907623291016
2012-03-15,5.549147605895996
2012-03-16,5.578933238983154
2012-03-19,5.578933238983154
2012-03-20,5.589157581329346
2012-03-21,5.552311420440674
2012-03-22,5.552311420440674
2012-03-23,5.457891464233398
2012-03-26,5.575340747833252
2012-03-27,5.480920314788818
2012-03-28,5.386501312255859
2012-03-29,5.370382308959961
2012-03-30,5.377289295196533
2012-04-02,5.349654674530029
2012-04-03,5.193058490753174
2012-04-04,5.011127471923828
2012-04-05,5.066397190093994
2012-04-09,4.971977233886719
2012-04-10,4.879861831665039
2012-04-11,4.916708946228027
2012-04-12,5.068700790405273
2012-04-13,4.990401268005371
2012-04-16,4.953555107116699
2012-04-17,4.969675064086914
2012-04-18,5.011127471923828
2012-04-19,4.939736843109131
2012-04-20,4.942039966583252
2012-04-23,4.90058708190918
2012-04-24,4.891377925872803
2012-04-25,4.866043567657471
2012-04-26,4.891377925872803
2012-04-27,4.819986820220947
2012-04-30,4.902891159057617
2012-05-02,4.902891159057617
2012-05-03,4.928222179412842
2012-05-04,4.7163567543029785
2012-05-07,4.739385604858398
2012-05-08,4.66569185256958
2012-05-09,4.642662048339844
2012-05-10,4.587392807006836
2012-05-11,4.4975786209106445
2012-05-14,4.397529602050781
2012-05-15,4.302133560180664
2012-05-16,4.488273620605469
2012-05-17,4.288172721862793
2012-05-18,4.4370832443237305
